Metal1,Metal2,Metal1_Composition,Metal2_Composition,Site,ads_energy
Pt,Ti,0.75,0.25,2,-0.2928098648580715
Ag,V,0.5,0.5,3,-0.6302911619559097
Mo,Ta,0.5,0.5,3,-0.8092143102576017
Sc,Cu,0.75,0.25,1,0.09578148614403403
Mn,Ru,0.5,0.5,3,-0.21372269876061978
Ti,W,0.5,0.5,3,-0.8611692775548079
Cd,Pd,0.75,0.25,1,0.9973015724399659
Pt,Ti,0.75,0.25,1,-0.18993015325665397
Ag,Ta,0.5,0.5,2,-0.7509863026561732
Ru,Zr,0.5,0.5,3,-0.8398800433596705
Au,Fe,0.5,0.5,3,0.32012506014237374
Au,Fe,0.5,0.5,3,-0.1319357552556255
Cd,Pd,0.75,0.25,1,0.40117117364300725
Mn,Ru,0.5,0.5,3,-0.1305164094582949
Ag,Ta,0.5,0.5,3,-0.12038561126152558
Ru,Zr,0.5,0.5,1,0.6151627209410719
Au,Fe,0.5,0.5,1,0.5055986689449412
Ti,W,0.5,0.5,3,-0.8821144239545617
Ir,Mo,0.5,0.5,3,-0.3645412496580036
Pt,Ti,0.75,0.25,1,0.7090058040421638
Ag,Ta,0.5,0.5,3,-0.17656419355532194
Ru,Zr,0.5,0.5,2,-0.5643553937579497
Au,Fe,0.5,0.5,1,0.4200439011447372
Ta,Zr,0.5,0.5,3,-0.9901263387573351
Hg,Pt,0.5,0.5,2,-0.1266533453553791
Hg,Pt,0.5,0.5,1,-0.15377357115627888
Mn,Ru,0.5,0.5,1,0.609511460738787
Ta,Zr,0.5,0.5,3,-0.8673500713584588
Nb,Cr,0.75,0.25,1,0.19181739874059645
Ti,V,0.5,0.5,3,-0.8933125887587892
Mn,Ru,0.5,0.5,1,0.1407057121405444
Ta,Zr,0.5,0.5,3,-0.9254120895593303
La,Zn,0.75,0.25,1,0.27082143404280146
Ti,W,0.5,0.5,3,-0.8216314089576997
Ti,V,0.5,0.5,3,-0.9275918574594186
Ti,W,0.5,0.5,3,-0.9260783602576055
Ir,Mo,0.5,0.5,3,-0.3730532426588695
Ta,Zr,0.5,0.5,3,-0.8909084629585493
Ti,V,0.5,0.5,3,-0.9002350287582601
Ir,Mo,0.5,0.5,3,-0.6051530134563734
Cr,Os,0.5,0.5,3,-0.5091772379555266
Co,Ni,0.5,0.5,3,-0.30039381355797445
Cr,Hf,0.5,0.5,2,-0.8298058447571464
Cr,Hf,0.5,0.5,3,-0.9850956340551136
Mo,Pd,0.5,0.5,3,-0.6042444252588837
Mo,Pd,0.5,0.5,3,-0.2736310093596046
Cr,Hf,0.5,0.5,1,0.5876343245445526
Mo,Pd,0.5,0.5,3,-0.5423622008592872
Mo,Pd,0.5,0.5,3,-0.3023648701591526
Ti,V,0.5,0.5,3,-0.9599188454585317
Cd,Zn,0.5,0.5,2,0.6036674078359567
Ir,Mo,0.5,0.5,3,-0.5341089882594758
La,Ti,0.5,0.5,2,-0.8018721347607141
Ag,Ni,0.75,0.25,1,0.07639106224181091
Hf,Zr,0.5,0.5,3,-0.9463798213573398
Cr,Os,0.5,0.5,3,-0.44357630585633956
Cu,Sc,0.5,0.5,2,-0.1765346691599632
Hf,Zr,0.5,0.5,3,-0.975953561558498
Ta,W,0.5,0.5,3,-0.8744002688572152
Cr,V,0.5,0.5,3,-0.8230224549579077
Au,Pd,0.5,0.5,3,0.11569232784043493
Cd,Zn,0.5,0.5,1,0.6262031957385545
Hf,Zr,0.5,0.5,3,-0.9104518149606236
Ta,W,0.5,0.5,3,-0.8898464027579109
Hg,Nb,0.5,0.5,2,-0.6444970009569886
Ti,Zr,0.5,0.5,3,-0.9055873718561713
Hg,La,0.75,0.25,3,1.0109869937450924
Cr,V,0.5,0.5,3,-0.8788667453581809
Au,Pd,0.5,0.5,3,-0.12606326645888544
Hf,Zr,0.5,0.5,3,-0.9995041979591122
Ta,W,0.5,0.5,3,-0.8102909287544833
Hg,Nb,0.5,0.5,3,0.34490524284140633
Hg,La,0.75,0.25,3,0.24727474324484433
Ni,La,0.75,0.25,1,1.153537365645235
Cr,V,0.5,0.5,3,-0.8258136626563726
Hf,Zr,0.5,0.5,1,0.252911853539473
Ta,W,0.5,0.5,3,-0.9135914644566299
Hf,Zr,0.5,0.5,1,0.34452509984205903
Hg,La,0.75,0.25,3,0.19612128724205036
Cr,V,0.5,0.5,3,-0.8526625908588983
Mo,W,0.5,0.5,2,-0.6685223398553433
Cd,Zr,0.5,0.5,2,-0.7891495881585513
Cr,V,0.5,0.5,1,0.16187739334148432
Mo,W,0.5,0.5,3,-0.7534909744562981
Cd,Zr,0.5,0.5,3,0.060192125341046676
Ti,Zr,0.5,0.5,3,-0.8930452368576596
Cr,Os,0.5,0.5,1,0.3704257113431879
Mo,W,0.5,0.5,3,-0.7463432241556518
Cd,Zr,0.5,0.5,3,0.02463528224055267
Cr,Os,0.5,0.5,1,-0.10911343155655118
Cd,W,0.5,0.5,2,-0.818570536458509
Pd,Mn,0.75,0.25,1,0.5475817524429942
Mo,W,0.5,0.5,3,-0.7410112895585996
Mo,Rh,0.5,0.5,3,-0.4217884229574054
Mo,W,0.5,0.5,3,-0.7665932557565327
Mo,Rh,0.5,0.5,3,-0.6385340343576615
Mo,Rh,0.5,0.5,3,-0.45325634755769784
W,Ti,0.75,0.25,1,0.39328681124337095
Mo,W,0.5,0.5,1,0.15129842364424917
Ag,Tc,0.5,0.5,2,-0.4841148731565852
Ru,W,0.5,0.5,3,-0.5812562481578141
Ag,Tc,0.5,0.5,3,0.10395007144055057
Ru,W,0.5,0.5,3,-0.5683837669593856
Nb,Sc,0.5,0.5,3,-0.8391675132579337
Nb,Sc,0.5,0.5,3,-0.8723070331570568
Sc,Y,0.5,0.5,3,-0.9332191716593741
Ru,W,0.5,0.5,3,-0.6813141393567719
Au,Zn,0.5,0.5,3,0.587112274043676
Au,Zn,0.5,0.5,3,0.5751554559474528
Nb,Sc,0.5,0.5,1,0.45552006254095545
Sc,Y,0.5,0.5,3,-0.8390705046594746
