Metal1,Metal2,Metal1_Composition,Metal2_Composition,Site,adsorption_energy
Pt,Ti,0.75,0.25,bridge,-0.2928098648580715
Ag,V,0.5,0.5,hollow,-0.6302911619559097
Mo,Ta,0.5,0.5,hollow,-0.8092143102576017
Sc,Cu,0.75,0.25,top,0.095781486144034
Mn,Ru,0.5,0.5,hollow,-0.2137226987606197
Ti,W,0.5,0.5,hollow,-0.8611692775548079
Cd,Pd,0.75,0.25,top,0.997301572439966
Pt,Ti,0.75,0.25,top,-0.1899301532566539
Ag,Ta,0.5,0.5,bridge,-0.7509863026561732
Ru,Zr,0.5,0.5,hollow,-0.8398800433596705
Au,Fe,0.5,0.5,hollow,0.3201250601423737
Au,Fe,0.5,0.5,hollow,-0.1319357552556255
Cd,Pd,0.75,0.25,top,0.4011711736430072
Mn,Ru,0.5,0.5,hollow,-0.1305164094582949
Ag,Ta,0.5,0.5,hollow,-0.1203856112615255
Ru,Zr,0.5,0.5,top,0.6151627209410719
Au,Fe,0.5,0.5,top,0.5055986689449412
Ti,W,0.5,0.5,hollow,-0.8821144239545617
Ir,Mo,0.5,0.5,hollow,-0.3645412496580036
Pt,Ti,0.75,0.25,top,0.7090058040421638
Ag,Ta,0.5,0.5,hollow,-0.1765641935553219
Ru,Zr,0.5,0.5,bridge,-0.5643553937579497
Au,Fe,0.5,0.5,top,0.4200439011447372
Ta,Zr,0.5,0.5,hollow,-0.9901263387573352
Hg,Pt,0.5,0.5,bridge,-0.1266533453553791
Hg,Pt,0.5,0.5,top,-0.1537735711562788
Mn,Ru,0.5,0.5,top,0.609511460738787
Ta,Zr,0.5,0.5,hollow,-0.8673500713584588
Nb,Cr,0.75,0.25,top,0.1918173987405964
Ti,V,0.5,0.5,hollow,-0.8933125887587892
Mn,Ru,0.5,0.5,top,0.1407057121405444
Ta,Zr,0.5,0.5,hollow,-0.9254120895593304
La,Zn,0.75,0.25,top,0.2708214340428014
Ti,W,0.5,0.5,hollow,-0.8216314089576997
Ti,V,0.5,0.5,hollow,-0.9275918574594186
Ti,W,0.5,0.5,hollow,-0.9260783602576056
Ir,Mo,0.5,0.5,hollow,-0.3730532426588695
Ta,Zr,0.5,0.5,hollow,-0.8909084629585493
Ti,V,0.5,0.5,hollow,-0.9002350287582601
Ir,Mo,0.5,0.5,hollow,-0.6051530134563734
Cr,Os,0.5,0.5,hollow,-0.5091772379555266
Co,Ni,0.5,0.5,hollow,-0.3003938135579744
Cr,Hf,0.5,0.5,bridge,-0.8298058447571464
Cr,Hf,0.5,0.5,hollow,-0.9850956340551136
Mo,Pd,0.5,0.5,hollow,-0.6042444252588837
Mo,Pd,0.5,0.5,hollow,-0.2736310093596046
Cr,Hf,0.5,0.5,top,0.5876343245445526
Mo,Pd,0.5,0.5,hollow,-0.5423622008592872
Mo,Pd,0.5,0.5,hollow,-0.3023648701591526
Ti,V,0.5,0.5,hollow,-0.9599188454585316
Cd,Zn,0.5,0.5,bridge,0.6036674078359567
Ir,Mo,0.5,0.5,hollow,-0.5341089882594758
La,Ti,0.5,0.5,bridge,-0.8018721347607141
Ag,Ni,0.75,0.25,top,0.0763910622418109
Hf,Zr,0.5,0.5,hollow,-0.9463798213573398
Cr,Os,0.5,0.5,hollow,-0.4435763058563395
Cu,Sc,0.5,0.5,bridge,-0.1765346691599632
Hf,Zr,0.5,0.5,hollow,-0.975953561558498
Ta,W,0.5,0.5,hollow,-0.8744002688572152
Cr,V,0.5,0.5,hollow,-0.8230224549579077
Au,Pd,0.5,0.5,hollow,0.1156923278404349
Cd,Zn,0.5,0.5,top,0.6262031957385545
Hf,Zr,0.5,0.5,hollow,-0.9104518149606236
Ta,W,0.5,0.5,hollow,-0.8898464027579109
Hg,Nb,0.5,0.5,bridge,-0.6444970009569886
Ti,Zr,0.5,0.5,hollow,-0.9055873718561712
Hg,La,0.75,0.25,hollow,1.0109869937450924
Cr,V,0.5,0.5,hollow,-0.8788667453581809
Au,Pd,0.5,0.5,hollow,-0.1260632664588854
Hf,Zr,0.5,0.5,hollow,-0.9995041979591122
Ta,W,0.5,0.5,hollow,-0.8102909287544833
Hg,Nb,0.5,0.5,hollow,0.3449052428414063
Hg,La,0.75,0.25,hollow,0.2472747432448443
Ni,La,0.75,0.25,top,1.153537365645235
Cr,V,0.5,0.5,hollow,-0.8258136626563726
Hf,Zr,0.5,0.5,top,0.252911853539473
Ta,W,0.5,0.5,hollow,-0.91359146445663
Hf,Zr,0.5,0.5,top,0.344525099842059
Hg,La,0.75,0.25,hollow,0.1961212872420503
Cr,V,0.5,0.5,hollow,-0.8526625908588983
Mo,W,0.5,0.5,bridge,-0.6685223398553433
Cd,Zr,0.5,0.5,bridge,-0.7891495881585513
Cr,V,0.5,0.5,top,0.1618773933414843
Mo,W,0.5,0.5,hollow,-0.7534909744562981
Cd,Zr,0.5,0.5,hollow,0.0601921253410466
Ti,Zr,0.5,0.5,hollow,-0.8930452368576596
Cr,Os,0.5,0.5,top,0.3704257113431879
Mo,W,0.5,0.5,hollow,-0.7463432241556518
Cd,Zr,0.5,0.5,hollow,0.0246352822405526
Cr,Os,0.5,0.5,top,-0.1091134315565511
Cd,W,0.5,0.5,bridge,-0.818570536458509
Pd,Mn,0.75,0.25,top,0.5475817524429942
Mo,W,0.5,0.5,hollow,-0.7410112895585996
Mo,Rh,0.5,0.5,hollow,-0.4217884229574054
Mo,W,0.5,0.5,hollow,-0.7665932557565327
Mo,Rh,0.5,0.5,hollow,-0.6385340343576615
Mo,Rh,0.5,0.5,hollow,-0.4532563475576978
W,Ti,0.75,0.25,top,0.3932868112433709
Mo,W,0.5,0.5,top,0.1512984236442491
Ag,Tc,0.5,0.5,bridge,-0.4841148731565852
Ru,W,0.5,0.5,hollow,-0.5812562481578141
Ag,Tc,0.5,0.5,hollow,0.1039500714405505
Ru,W,0.5,0.5,hollow,-0.5683837669593856
Nb,Sc,0.5,0.5,hollow,-0.8391675132579337
Nb,Sc,0.5,0.5,hollow,-0.8723070331570568
Sc,Y,0.5,0.5,hollow,-0.933219171659374
Ru,W,0.5,0.5,hollow,-0.6813141393567719
Au,Zn,0.5,0.5,hollow,0.587112274043676
Au,Zn,0.5,0.5,hollow,0.5751554559474528
Nb,Sc,0.5,0.5,top,0.4555200625409554
Sc,Y,0.5,0.5,hollow,-0.8390705046594746
Cr,W,0.5,0.5,hollow,-0.7321943930573696
Ru,W,0.5,0.5,hollow,-0.6421415835602318
Au,Zn,0.5,0.5,hollow,0.594304514947936
