Metal1,Metal2,Metal1_Composition,Metal2_Composition,Site
Pt,Ti,0.75,0.25,bridge
Ag,V,0.5,0.5,hollow
Mo,Ta,0.5,0.5,hollow
Sc,Cu,0.75,0.25,top
Mn,Ru,0.5,0.5,hollow
Ti,W,0.5,0.5,hollow
Cd,Pd,0.75,0.25,top
Pt,Ti,0.75,0.25,top
Ag,Ta,0.5,0.5,bridge
Ru,Zr,0.5,0.5,hollow
Au,Fe,0.5,0.5,hollow
Au,Fe,0.5,0.5,hollow
Cd,Pd,0.75,0.25,top
Mn,Ru,0.5,0.5,hollow
Ag,Ta,0.5,0.5,hollow
Ru,Zr,0.5,0.5,top
Au,Fe,0.5,0.5,top
Ti,W,0.5,0.5,hollow
Ir,Mo,0.5,0.5,hollow
Pt,Ti,0.75,0.25,top
Ag,Ta,0.5,0.5,hollow
Ru,Zr,0.5,0.5,bridge
Au,Fe,0.5,0.5,top
Ta,Zr,0.5,0.5,hollow
Hg,Pt,0.5,0.5,bridge
Hg,Pt,0.5,0.5,top
Mn,Ru,0.5,0.5,top
Ta,Zr,0.5,0.5,hollow
Nb,Cr,0.75,0.25,top
Ti,V,0.5,0.5,hollow
Mn,Ru,0.5,0.5,top
Ta,Zr,0.5,0.5,hollow
La,Zn,0.75,0.25,top
Ti,W,0.5,0.5,hollow
Ti,V,0.5,0.5,hollow
Ti,W,0.5,0.5,hollow
Ir,Mo,0.5,0.5,hollow
Ta,Zr,0.5,0.5,hollow
Ti,V,0.5,0.5,hollow
Ir,Mo,0.5,0.5,hollow
Cr,Os,0.5,0.5,hollow
Co,Ni,0.5,0.5,hollow
Cr,Hf,0.5,0.5,bridge
Cr,Hf,0.5,0.5,hollow
Mo,Pd,0.5,0.5,hollow
Mo,Pd,0.5,0.5,hollow
Cr,Hf,0.5,0.5,top
Mo,Pd,0.5,0.5,hollow
Mo,Pd,0.5,0.5,hollow
Ti,V,0.5,0.5,hollow
Cd,Zn,0.5,0.5,bridge
Ir,Mo,0.5,0.5,hollow
La,Ti,0.5,0.5,bridge
Ag,Ni,0.75,0.25,top
Hf,Zr,0.5,0.5,hollow
Cr,Os,0.5,0.5,hollow
Cu,Sc,0.5,0.5,bridge
Hf,Zr,0.5,0.5,hollow
Ta,W,0.5,0.5,hollow
Cr,V,0.5,0.5,hollow
Au,Pd,0.5,0.5,hollow
Cd,Zn,0.5,0.5,top
Hf,Zr,0.5,0.5,hollow
Ta,W,0.5,0.5,hollow
Hg,Nb,0.5,0.5,bridge
Ti,Zr,0.5,0.5,hollow
Hg,La,0.75,0.25,hollow
Cr,V,0.5,0.5,hollow
Au,Pd,0.5,0.5,hollow
Hf,Zr,0.5,0.5,hollow
Ta,W,0.5,0.5,hollow
Hg,Nb,0.5,0.5,hollow
Hg,La,0.75,0.25,hollow
Ni,La,0.75,0.25,top
Cr,V,0.5,0.5,hollow
Hf,Zr,0.5,0.5,top
Ta,W,0.5,0.5,hollow
Hf,Zr,0.5,0.5,top
Hg,La,0.75,0.25,hollow
Cr,V,0.5,0.5,hollow
Mo,W,0.5,0.5,bridge
Cd,Zr,0.5,0.5,bridge
Cr,V,0.5,0.5,top
Mo,W,0.5,0.5,hollow
Cd,Zr,0.5,0.5,hollow
Ti,Zr,0.5,0.5,hollow
Cr,Os,0.5,0.5,top
Mo,W,0.5,0.5,hollow
Cd,Zr,0.5,0.5,hollow
Cr,Os,0.5,0.5,top
Cd,W,0.5,0.5,bridge
Pd,Mn,0.75,0.25,top
Mo,W,0.5,0.5,hollow
Mo,Rh,0.5,0.5,hollow
Mo,W,0.5,0.5,hollow
Mo,Rh,0.5,0.5,hollow
Mo,Rh,0.5,0.5,hollow
W,Ti,0.75,0.25,top
Mo,W,0.5,0.5,top
Ag,Tc,0.5,0.5,bridge
Ru,W,0.5,0.5,hollow
Ag,Tc,0.5,0.5,hollow
Ru,W,0.5,0.5,hollow
Nb,Sc,0.5,0.5,hollow
Nb,Sc,0.5,0.5,hollow
Sc,Y,0.5,0.5,hollow
Ru,W,0.5,0.5,hollow
Au,Zn,0.5,0.5,hollow
Au,Zn,0.5,0.5,hollow
Nb,Sc,0.5,0.5,top
Sc,Y,0.5,0.5,hollow
Cr,W,0.5,0.5,hollow
Ru,W,0.5,0.5,hollow
Au,Zn,0.5,0.5,hollow
Nb,Sc,0.5,0.5,hollow
Sc,Y,0.5,0.5,hollow
Cr,W,0.5,0.5,top
Mn,Ru,0.5,0.5,bridge
Cr,W,0.5,0.5,top
Mn,Ru,0.5,0.5,bridge
Cr,Ti,0.75,0.25,hollow
Cr,Ta,0.75,0.25,hollow
Cr,Nb,0.75,0.25,hollow
Cr,Mn,0.5,0.5,bridge
Cr,Mn,0.5,0.5,bridge
