Metal1,Metal2,Metal1_Composition,Metal2_Composition,Site,adsorption_energy
Cd,Ir,0.5,0.5,top,-0.2700185620551281
Fe,La,0.5,0.5,top,-0.2698497154587755
Co,Ir,0.5,0.5,hollow,-0.2701694492634203
Os,Ru,0.5,0.5,bridge,-0.2698286266595175
Co,Ir,0.5,0.5,hollow,-0.2705514970575393
Co,Cu,0.5,0.5,hollow,-0.2706072803548238
Pd,W,0.5,0.5,hollow,-0.2706155798577754
Co,Re,0.5,0.5,bridge,-0.2689379980647288
Ni,Ru,0.5,0.5,hollow,-0.2688533706595706
Ag,Rh,0.75,0.25,hollow,-0.2688362274556937
Rh,Os,0.75,0.25,bridge,-0.2685457459583347
Pt,Rh,0.75,0.25,hollow,-0.2683290072590978
La,Os,0.75,0.25,top,-0.271701178057782
Pd,Pt,0.75,0.25,hollow,-0.268285877252282
Ir,Cu,0.75,0.25,bridge,-0.2681845147589854
Rh,Re,0.75,0.25,hollow,-0.2718766914576633
Cu,Ru,0.5,0.5,hollow,-0.2720888041576188
Y,Ta,0.75,0.25,top,-0.2678985231568447
Ag,W,0.5,0.5,hollow,-0.2678409711579377
Co,Ir,0.75,0.25,hollow,-0.2723146586567679
Os,Pt,0.75,0.25,hollow,-0.2725388804601323
Ir,Mn,0.75,0.25,top,-0.2674466781563467
Mn,Y,0.5,0.5,bridge,-0.2674191946561848
Co,Ir,0.5,0.5,bridge,-0.2673627310641393
Ir,Hg,0.75,0.25,top,-0.272876437759777
Cu,V,0.75,0.25,hollow,-0.2670609567566941
Co,Pd,0.75,0.25,hollow,-0.2730382093568266
Cu,La,0.5,0.5,bridge,-0.2731165781578681
Ir,Ni,0.5,0.5,hollow,-0.273229505356511
Pd,V,0.5,0.5,hollow,-0.2666820382609955
Pt,Ag,0.75,0.25,hollow,-0.2664416256584161
Pd,Cd,0.75,0.25,hollow,-0.2664334622595277
Mo,Pd,0.5,0.5,hollow,-0.2736310093596046
Pd,Rh,0.75,0.25,hollow,-0.2662942760607336
Ni,Os,0.5,0.5,bridge,-0.2660271963604543
Ir,Pt,0.5,0.5,top,-0.2739761857583005
Cd,Hf,0.75,0.25,top,-0.265839437760377
Pt,La,0.75,0.25,hollow,-0.2743775536573309
Ir,Ta,0.75,0.25,hollow,-0.2746666746561175
Ni,Rh,0.5,0.5,hollow,-0.2749538908601323
Os,Tc,0.75,0.25,bridge,-0.2749579724577131
Ir,Pt,0.75,0.25,top,-0.275202602856524
Ir,Zn,0.75,0.25,hollow,-0.2647530232634096
Rh,Ti,0.5,0.5,hollow,-0.2647094850608198
Ni,Hf,0.75,0.25,bridge,-0.2644844469532188
Os,Ir,0.75,0.25,hollow,-0.2644799570580005
Ir,Ni,0.5,0.5,hollow,-0.2755715891607622
Pd,Mo,0.75,0.25,hollow,-0.2756136307607164
Os,Re,0.75,0.25,bridge,-0.2760164953569699
