system_id,composition
random1719469,"{'Sc': 8, 'Pt': 24, 'H': 1}"
random1252132,"{'Hg': 8, 'H': 1}"
random2138036,"{'Hf': 12, 'Ga': 6, 'Sb': 18, 'H': 1}"
random1902440,"{'Ti': 72, 'Pt': 24, 'H': 1}"
random1165257,"{'Y': 24, 'Si': 16, 'Rh': 16, 'H': 1}"
random2249477,"{'Al': 48, 'H': 1}"
random709257,"{'Pt': 16, 'Sb': 32, 'H': 1}"
random2480284,"{'Ca': 24, 'Ge': 24, 'Au': 24, 'H': 1}"
random856407,"{'Ga': 112, 'V': 96, 'H': 1}"
random2025362,"{'Hf': 24, 'Mo': 48, 'H': 1}"
random2402553,"{'Ca': 8, 'Tl': 8, 'Cl': 24, 'H': 1}"
random1031907,"{'Mn': 4, 'Zn': 16, 'Se': 20, 'H': 1}"
random244680,"{'Sn': 48, 'Y': 16, 'H': 1}"
random671043,"{'Ge': 48, 'Mo': 24, 'H': 1}"
random466748,"{'Zr': 24, 'Ni': 24, 'Ge': 24, 'H': 1}"
random292075,"{'Sb': 8, 'Sr': 16, 'H': 1}"
random518695,"{'Zr': 40, 'Rh': 20, 'H': 1}"
random1182642,"{'Au': 12, 'Ca': 24, 'Pb': 12, 'H': 1}"
random2094504,"{'Cu': 20, 'Au': 60, 'H': 1}"
random2200575,"{'Ca': 60, 'Au': 36, 'H': 1}"
random1596943,"{'Ir': 72, 'H': 1}"
random223033,"{'K': 16, 'Sb': 32, 'H': 1}"
random592482,"{'Nb': 48, 'Ga': 8, 'Si': 8, 'H': 1}"
random1731602,"{'Ca': 18, 'Zn': 18, 'H': 1}"
random1659729,"{'Co': 36, 'P': 36, 'H': 1}"
random2299287,"{'K': 16, 'Mn': 16, 'As': 16, 'H': 1}"
random865162,"{'Cd': 12, 'Na': 36, 'H': 1}"
random1534959,"{'In': 16, 'Ti': 48, 'H': 1}"
random2251491,"{'Ti': 80, 'Ga': 64, 'H': 1}"
random1031692,"{'Al': 12, 'Co': 24, 'Hf': 12, 'H': 1}"
random1025204,"{'Tl': 27, 'H': 1}"
random856022,"{'Zn': 16, 'As': 32, 'H': 1}"
random1751613,"{'Mn': 16, 'Au': 48, 'H': 1}"
random1047274,"{'Nb': 24, 'As': 24, 'H': 1}"
random2084099,"{'Hf': 8, 'Sb': 16, 'H': 1}"
random550519,"{'Hf': 48, 'H': 1}"
random853264,"{'H': 61, 'V': 30}"
random1411166,"{'Al': 96, 'Ir': 32, 'H': 1}"
random971561,"{'Sn': 36, 'H': 1}"
random1225189,"{'As': 48, 'Mo': 24, 'H': 1}"
random348193,"{'As': 24, 'Cd': 12, 'Ge': 12, 'H': 1}"
random2010333,"{'Ge': 16, 'Nb': 48, 'H': 1}"
random1309180,"{'Na': 16, 'S': 40, 'Si': 16, 'H': 1}"
random1536724,"{'Co': 32, 'Hf': 16, 'Sc': 16, 'H': 1}"
random581741,"{'Co': 96, 'P': 48, 'H': 1}"
random174543,"{'Tl': 48, 'Pd': 24, 'H': 1}"
random1378228,"{'Sc': 32, 'Al': 16, 'H': 1}"
random196814,"{'Al': 42, 'Ca': 18, 'Cu': 12, 'H': 1}"
random1448331,"{'Al': 16, 'Hf': 16, 'Mn': 16, 'H': 1}"
random2129790,"{'Ti': 32, 'Ga': 96, 'H': 1}"
random2284670,"{'Cs': 18, 'In': 54, 'H': 1}"
random1019244,"{'Cs': 12, 'Mn': 12, 'Te': 24, 'H': 1}"
random282542,"{'Bi': 48, 'Pd': 24, 'H': 1}"
random1343568,"{'Cs': 16, 'S': 16, 'H': 1}"
random941423,"{'K': 24, 'S': 24, 'H': 1}"
random416197,"{'Re': 12, 'Tc': 12, 'Ti': 24, 'H': 1}"
random1545327,"{'Ti': 16, 'Cr': 32, 'H': 1}"
random497960,"{'Sr': 8, 'Ca': 8, 'Zn': 16, 'H': 1}"
random978522,"{'Ag': 24, 'Pd': 24, 'H': 1}"
random13579,"{'Al': 42, 'Ca': 39, 'H': 1}"
random960634,"{'Zr': 8, 'Hg': 24, 'H': 1}"
random788370,"{'P': 48, 'Ti': 84, 'H': 1}"
random536943,"{'Au': 32, 'Mn': 8, 'H': 1}"
random368286,"{'Te': 24, 'H': 1}"
random1944578,"{'Zr': 36, 'Bi': 12, 'H': 1}"
random2352036,"{'Mo': 64, 'Rh': 64, 'H': 1}"
random2210160,"{'Co': 32, 'Si': 32, 'Ni': 32, 'H': 1}"
random5281,"{'Al': 16, 'Pt': 48, 'H': 1}"
random900474,"{'Ta': 12, 'Si': 24, 'H': 1}"
random1069765,"{'Ga': 16, 'Te': 40, 'H': 1}"
random952795,"{'P': 32, 'S': 56, 'H': 1}"
random2029687,"{'Ir': 36, 'Ru': 36, 'H': 1}"
random217313,"{'Al': 36, 'Ni': 36, 'H': 1}"
random1988554,"{'Zr': 24, 'Mn': 16, 'Ni': 32, 'H': 1}"
random2333019,"{'Hf': 30, 'Sc': 10, 'H': 1}"
random1210711,"{'Zr': 72, 'As': 48, 'H': 1}"
random1479668,"{'In': 24, 'Ni': 36, 'Se': 24, 'H': 1}"
random1851550,"{'Pd': 24, 'Se': 24, 'H': 1}"
random1670051,"{'Co': 16, 'Tc': 16, 'Ti': 32, 'H': 1}"
random1425487,"{'Ru': 72, 'H': 1}"
random1899358,"{'Ga': 60, 'Rh': 20, 'H': 1}"
random245382,"{'As': 8, 'Na': 24, 'H': 1}"
random50884,"{'Sr': 20, 'As': 12, 'H': 1}"
random888471,"{'Zr': 36, 'In': 12, 'H': 1}"
random57248,"{'In': 24, 'Na': 8, 'H': 1}"
random1437878,"{'Sb': 16, 'Ir': 16, 'H': 1}"
random1227127,"{'K': 40, 'Bi': 32, 'H': 1}"
random497465,"{'Ca': 32, 'Co': 16, 'N': 32, 'H': 1}"
random1202717,"{'Ca': 48, 'Tl': 16, 'H': 1}"
random1398839,"{'Mo': 24, 'Pt': 24, 'H': 1}"
random1091980,"{'Ga': 36, 'Se': 36, 'H': 1}"
random1815402,"{'Hf': 36, 'Ag': 36, 'H': 1}"
random596052,"{'Ti': 40, 'Ga': 40, 'H': 1}"
random889684,"{'Se': 16, 'Zn': 16, 'H': 1}"
random191430,"{'Si': 24, 'Os': 24, 'H': 1}"
random1920480,"{'Al': 48, 'Ir': 16, 'H': 1}"
random1390667,"{'Sc': 6, 'Mn': 36, 'P': 21, 'H': 1}"
random1876604,"{'Bi': 12, 'Pd': 36, 'H': 1}"
random767694,"{'Sc': 30, 'Pb': 18, 'H': 1}"
random1181565,"{'Bi': 16, 'Se': 12, 'H': 1}"
random1810626,"{'Cr': 12, 'Ru': 24, 'Sn': 12, 'H': 1}"
random1253173,"{'Sr': 16, 'Ga': 4, 'Sn': 12, 'H': 1}"
random1418133,"{'Nb': 12, 'Zn': 192, 'H': 1}"
random2248216,"{'Rb': 16, 'Na': 16, 'S': 16, 'H': 1}"
random790331,"{'W': 80, 'H': 1}"
