system_id,composition_fraction
random1719469,"{'Sc': 0.25, 'Pt': 0.75}"
random1252132,{'Hg': 1.0}
random2138036,"{'Hf': 0.3333333333333333, 'Ga': 0.16666666666666666, 'Sb': 0.5}"
random1902440,"{'Ti': 0.75, 'Pt': 0.25}"
random1165257,"{'Y': 0.42857142857142855, 'Si': 0.2857142857142857, 'Rh': 0.2857142857142857}"
random2249477,{'Al': 1.0}
random709257,"{'Pt': 0.3333333333333333, 'Sb': 0.6666666666666666}"
random2480284,"{'Ca': 0.3333333333333333, 'Ge': 0.3333333333333333, 'Au': 0.3333333333333333}"
random856407,"{'Ga': 0.5384615384615384, 'V': 0.46153846153846156}"
random2025362,"{'Hf': 0.3333333333333333, 'Mo': 0.6666666666666666}"
random2402553,"{'Ca': 0.2, 'Tl': 0.2, 'Cl': 0.6}"
random1031907,"{'Mn': 0.1, 'Zn': 0.4, 'Se': 0.5}"
random244680,"{'Sn': 0.75, 'Y': 0.25}"
random671043,"{'Ge': 0.6666666666666666, 'Mo': 0.3333333333333333}"
random466748,"{'Zr': 0.3333333333333333, 'Ni': 0.3333333333333333, 'Ge': 0.3333333333333333}"
random292075,"{'Sb': 0.3333333333333333, 'Sr': 0.6666666666666666}"
random518695,"{'Zr': 0.6666666666666666, 'Rh': 0.3333333333333333}"
random1182642,"{'Au': 0.25, 'Ca': 0.5, 'Pb': 0.25}"
random2094504,"{'Cu': 0.25, 'Au': 0.75}"
random2200575,"{'Ca': 0.625, 'Au': 0.375}"
random1596943,{'Ir': 1.0}
random223033,"{'K': 0.3333333333333333, 'Sb': 0.6666666666666666}"
random592482,"{'Nb': 0.75, 'Ga': 0.125, 'Si': 0.125}"
random1731602,"{'Ca': 0.5, 'Zn': 0.5}"
random1659729,"{'Co': 0.5, 'P': 0.5}"
random2299287,"{'K': 0.3333333333333333, 'Mn': 0.3333333333333333, 'As': 0.3333333333333333}"
random865162,"{'Cd': 0.25, 'Na': 0.75}"
random1534959,"{'In': 0.25, 'Ti': 0.75}"
random2251491,"{'Ti': 0.5555555555555556, 'Ga': 0.4444444444444444}"
random1031692,"{'Al': 0.25, 'Co': 0.5, 'Hf': 0.25}"
random1025204,{'Tl': 1.0}
random856022,"{'Zn': 0.3333333333333333, 'As': 0.6666666666666666}"
random1751613,"{'Mn': 0.25, 'Au': 0.75}"
random1047274,"{'Nb': 0.5, 'As': 0.5}"
random2084099,"{'Hf': 0.3333333333333333, 'Sb': 0.6666666666666666}"
random550519,{'Hf': 1.0}
random853264,{'V': 1.0}
random1411166,"{'Al': 0.75, 'Ir': 0.25}"
random971561,{'Sn': 1.0}
random1225189,"{'As': 0.6666666666666666, 'Mo': 0.3333333333333333}"
random348193,"{'As': 0.5, 'Cd': 0.25, 'Ge': 0.25}"
random2010333,"{'Ge': 0.25, 'Nb': 0.75}"
random1309180,"{'Na': 0.2222222222222222, 'S': 0.5555555555555556, 'Si': 0.2222222222222222}"
random1536724,"{'Co': 0.5, 'Hf': 0.25, 'Sc': 0.25}"
random581741,"{'Co': 0.6666666666666666, 'P': 0.3333333333333333}"
random174543,"{'Tl': 0.6666666666666666, 'Pd': 0.3333333333333333}"
random1378228,"{'Sc': 0.6666666666666666, 'Al': 0.3333333333333333}"
random196814,"{'Al': 0.5833333333333334, 'Ca': 0.25, 'Cu': 0.16666666666666666}"
random1448331,"{'Al': 0.3333333333333333, 'Hf': 0.3333333333333333, 'Mn': 0.3333333333333333}"
random2129790,"{'Ti': 0.25, 'Ga': 0.75}"
random2284670,"{'Cs': 0.25, 'In': 0.75}"
random1019244,"{'Cs': 0.25, 'Mn': 0.25, 'Te': 0.5}"
random282542,"{'Bi': 0.6666666666666666, 'Pd': 0.3333333333333333}"
random1343568,"{'Cs': 0.5, 'S': 0.5}"
random941423,"{'K': 0.5, 'S': 0.5}"
random416197,"{'Re': 0.25, 'Tc': 0.25, 'Ti': 0.5}"
random1545327,"{'Ti': 0.3333333333333333, 'Cr': 0.6666666666666666}"
random497960,"{'Sr': 0.25, 'Ca': 0.25, 'Zn': 0.5}"
random978522,"{'Ag': 0.5, 'Pd': 0.5}"
random13579,"{'Al': 0.5185185185185185, 'Ca': 0.48148148148148145}"
random960634,"{'Zr': 0.25, 'Hg': 0.75}"
random788370,"{'P': 0.36363636363636365, 'Ti': 0.6363636363636364}"
random536943,"{'Au': 0.8, 'Mn': 0.2}"
random368286,{'Te': 1.0}
random1944578,"{'Zr': 0.75, 'Bi': 0.25}"
random2352036,"{'Mo': 0.5, 'Rh': 0.5}"
random2210160,"{'Co': 0.3333333333333333, 'Si': 0.3333333333333333, 'Ni': 0.3333333333333333}"
random5281,"{'Al': 0.25, 'Pt': 0.75}"
random900474,"{'Ta': 0.3333333333333333, 'Si': 0.6666666666666666}"
random1069765,"{'Ga': 0.2857142857142857, 'Te': 0.7142857142857143}"
random952795,"{'P': 0.36363636363636365, 'S': 0.6363636363636364}"
random2029687,"{'Ir': 0.5, 'Ru': 0.5}"
random217313,"{'Al': 0.5, 'Ni': 0.5}"
random1988554,"{'Zr': 0.3333333333333333, 'Mn': 0.2222222222222222, 'Ni': 0.4444444444444444}"
random2333019,"{'Hf': 0.75, 'Sc': 0.25}"
random1210711,"{'Zr': 0.6, 'As': 0.4}"
random1479668,"{'In': 0.2857142857142857, 'Ni': 0.42857142857142855, 'Se': 0.2857142857142857}"
random1851550,"{'Pd': 0.5, 'Se': 0.5}"
random1670051,"{'Co': 0.25, 'Tc': 0.25, 'Ti': 0.5}"
random1425487,{'Ru': 1.0}
random1899358,"{'Ga': 0.75, 'Rh': 0.25}"
random245382,"{'As': 0.25, 'Na': 0.75}"
random50884,"{'Sr': 0.625, 'As': 0.375}"
random888471,"{'Zr': 0.75, 'In': 0.25}"
random57248,"{'In': 0.75, 'Na': 0.25}"
random1437878,"{'Sb': 0.5, 'Ir': 0.5}"
random1227127,"{'K': 0.5555555555555556, 'Bi': 0.4444444444444444}"
random497465,"{'Ca': 0.4, 'Co': 0.2, 'N': 0.4}"
random1202717,"{'Ca': 0.75, 'Tl': 0.25}"
random1398839,"{'Mo': 0.5, 'Pt': 0.5}"
random1091980,"{'Ga': 0.5, 'Se': 0.5}"
random1815402,"{'Hf': 0.5, 'Ag': 0.5}"
random596052,"{'Ti': 0.5, 'Ga': 0.5}"
random889684,"{'Se': 0.5, 'Zn': 0.5}"
random191430,"{'Si': 0.5, 'Os': 0.5}"
random1920480,"{'Al': 0.75, 'Ir': 0.25}"
random1390667,"{'Sc': 0.09523809523809523, 'Mn': 0.5714285714285714, 'P': 0.3333333333333333}"
random1876604,"{'Bi': 0.25, 'Pd': 0.75}"
random767694,"{'Sc': 0.625, 'Pb': 0.375}"
random1181565,"{'Bi': 0.5714285714285714, 'Se': 0.42857142857142855}"
random1810626,"{'Cr': 0.25, 'Ru': 0.5, 'Sn': 0.25}"
random1253173,"{'Sr': 0.5, 'Ga': 0.125, 'Sn': 0.375}"
random1418133,"{'Nb': 0.058823529411764705, 'Zn': 0.9411764705882353}"
random2248216,"{'Rb': 0.3333333333333333, 'Na': 0.3333333333333333, 'S': 0.3333333333333333}"
random790331,{'W': 1.0}
random2001423,"{'Ti': 0.5, 'Hg': 0.5}"
random1067776,"{'Hf': 0.5, 'Al': 0.5}"
random1223745,"{'Cl': 0.75, 'Zr': 0.25}"
random2333552,"{'Si': 0.3333333333333333, 'As': 0.6666666666666666}"
random17743,"{'Zn': 0.5, 'Ag': 0.5}"
random865443,"{'Sb': 0.2, 'Mo': 0.4, 'S': 0.4}"
random717954,"{'Al': 0.75, 'Co': 0.25}"
random219938,"{'Ti': 0.5, 'Fe': 0.5}"
random2307130,"{'Ca': 0.16666666666666666, 'Pt': 0.8333333333333334}"
random1587353,"{'Cu': 0.25, 'Pd': 0.75}"
random1573454,"{'Te': 0.75, 'Zr': 0.25}"
random1162257,{'Fe': 1.0}
random315945,"{'Ag': 0.25, 'Pt': 0.25, 'Sc': 0.5}"
random1865141,"{'Sr': 0.3333333333333333, 'In': 0.6666666666666666}"
random156304,"{'Sc': 0.75, 'Sb': 0.25}"
random1547787,"{'Ti': 0.75, 'Hg': 0.25}"
random1595491,"{'Ga': 0.375, 'Ta': 0.625}"
random2252681,{'Ge': 1.0}
random1762811,"{'K': 0.21428571428571427, 'Hg': 0.7857142857142857}"
random378033,"{'Al': 0.6, 'Pt': 0.4}"
random2253261,"{'Pb': 0.3333333333333333, 'Cl': 0.6666666666666666}"
random960729,"{'Y': 0.25, 'Rh': 0.75}"
random1091438,"{'Al': 0.25, 'Mo': 0.75}"
random579595,"{'Y': 0.10526315789473684, 'Zn': 0.8947368421052632}"
random1662566,"{'Ti': 0.5, 'Pt': 0.5}"
random1792820,"{'Sn': 0.5833333333333334, 'Pd': 0.4166666666666667}"
random591699,"{'Hf': 0.6666666666666666, 'Bi': 0.3333333333333333}"
random913197,"{'Cl': 0.5, 'Rb': 0.5}"
random872226,"{'P': 0.5, 'Y': 0.5}"
random2038053,"{'Cs': 0.2, 'P': 0.2, 'S': 0.6}"
random469484,"{'Ca': 0.3333333333333333, 'Cd': 0.6666666666666666}"
random915787,{'Te': 1.0}
random1838094,"{'V': 0.5454545454545454, 'C': 0.45454545454545453}"
random1965338,{'Te': 1.0}
random2161708,"{'Sc': 0.625, 'Ge': 0.375}"
random2374407,{'Zr': 1.0}
random78060,"{'Si': 0.6666666666666666, 'Ti': 0.3333333333333333}"
random185577,"{'Al': 0.75, 'Tc': 0.25}"
random2398153,"{'Ga': 0.5, 'Ru': 0.5}"
random178716,"{'Mo': 0.3333333333333333, 'Nb': 0.3333333333333333, 'W': 0.3333333333333333}"
random1173711,"{'Pd': 0.25, 'Ru': 0.25, 'Sc': 0.5}"
random1046219,"{'Cs': 0.3333333333333333, 'Te': 0.3333333333333333, 'Au': 0.3333333333333333}"
random720293,{'Co': 1.0}
random1400705,"{'Ta': 0.3333333333333333, 'Ge': 0.6666666666666666}"
random2138929,"{'Zr': 0.5, 'Hg': 0.5}"
random834250,"{'Os': 0.25, 'Ru': 0.75}"
random1015680,"{'Pd': 0.75, 'W': 0.25}"
random2170350,"{'Tc': 0.75, 'P': 0.25}"
random2275030,{'Rb': 1.0}
random2018422,"{'In': 0.3333333333333333, 'Na': 0.6666666666666666}"
random479042,"{'Sc': 0.3333333333333333, 'Os': 0.6666666666666666}"
random2374952,"{'S': 0.875, 'N': 0.125}"
random914571,"{'Mn': 0.6666666666666666, 'As': 0.3333333333333333}"
random2285985,"{'Ti': 0.5714285714285714, 'P': 0.42857142857142855}"
random1968486,"{'Ni': 0.42857142857142855, 'S': 0.2857142857142857, 'Tl': 0.2857142857142857}"
random827218,"{'K': 0.3333333333333333, 'Co': 0.3333333333333333, 'N': 0.3333333333333333}"
random450396,"{'Nb': 0.6363636363636364, 'P': 0.36363636363636365}"
random818748,"{'Co': 0.2, 'Na': 0.4, 'Se': 0.4}"
random324158,"{'Cu': 0.75, 'Au': 0.25}"
random670023,"{'Na': 0.3333333333333333, 'Hg': 0.6666666666666666}"
random1518012,"{'Co': 0.4, 'Cu': 0.2, 'Ge': 0.4}"
random1352617,"{'Pb': 0.3333333333333333, 'Cl': 0.6666666666666666}"
random1611228,{'Rb': 1.0}
random1800939,{'K': 1.0}
random1111042,"{'Si': 0.14285714285714285, 'Sn': 0.14285714285714285, 'Pd': 0.7142857142857143}"
random2057563,"{'K': 0.25, 'Se': 0.75}"
random562795,"{'Mn': 0.25, 'Zn': 0.75}"
random1020982,"{'Pb': 0.5, 'S': 0.5}"
random2487729,"{'Au': 0.25, 'Pd': 0.25, 'Sc': 0.5}"
random1425782,{'Te': 1.0}
random1748025,"{'Sc': 0.25, 'Tc': 0.75}"
random1854635,"{'Co': 0.4117647058823529, 'Ge': 0.35294117647058826, 'Hf': 0.23529411764705882}"
random674439,{'Re': 1.0}
random2269460,"{'K': 0.25, 'Hg': 0.75}"
random1291373,"{'V': 0.5, 'W': 0.5}"
random484418,"{'Al': 0.3333333333333333, 'Cr': 0.6666666666666666}"
random1777584,"{'As': 0.25, 'Ti': 0.75}"
random781082,"{'Hf': 0.5, 'Rh': 0.25, 'Ru': 0.25}"
random1437856,"{'Zr': 0.09523809523809523, 'Co': 0.5714285714285714, 'P': 0.3333333333333333}"
random1417157,"{'Te': 0.6666666666666666, 'W': 0.3333333333333333}"
random1092307,"{'S': 0.5, 'Zn': 0.5}"
random1588064,"{'Ag': 0.25, 'Te': 0.75}"
random228291,"{'Sr': 0.3333333333333333, 'Ag': 0.3333333333333333, 'As': 0.3333333333333333}"
random439080,"{'Mo': 0.25, 'W': 0.08333333333333333, 'Se': 0.6666666666666666}"
random1320648,"{'Co': 0.25, 'Sn': 0.375, 'Te': 0.375}"
random1835576,"{'Ni': 0.25, 'Pd': 0.25, 'Sc': 0.5}"
random491819,{'Na': 1.0}
random722096,{'Ni': 1.0}
random1264355,{'Ag': 1.0}
random1438166,"{'Ca': 0.3333333333333333, 'Ge': 0.3333333333333333, 'Au': 0.3333333333333333}"
random1732675,"{'P': 0.75, 'Sr': 0.25}"
random2367562,"{'Si': 0.42857142857142855, 'P': 0.42857142857142855, 'Ir': 0.14285714285714285}"
random76151,"{'In': 0.75, 'Ir': 0.25}"
random594756,"{'K': 0.2857142857142857, 'Ge': 0.14285714285714285, 'Te': 0.5714285714285714}"
random805546,"{'Zr': 0.6666666666666666, 'Pd': 0.3333333333333333}"
random67785,{'Nb': 1.0}
random132373,"{'Hg': 0.14285714285714285, 'In': 0.2857142857142857, 'Te': 0.5714285714285714}"
random1194100,"{'Al': 0.25, 'Fe': 0.5, 'Ta': 0.25}"
random144933,{'Sb': 1.0}
random284705,"{'Ta': 0.3333333333333333, 'P': 0.3333333333333333, 'Ru': 0.3333333333333333}"
random1231463,"{'Sr': 0.2, 'Mn': 0.4, 'As': 0.4}"
random250937,"{'Cu': 0.25, 'Ga': 0.25, 'Pt': 0.5}"
random768456,"{'Sr': 0.2, 'Si': 0.6, 'Ni': 0.2}"
random1768535,"{'Al': 0.16666666666666666, 'Fe': 0.5, 'Zr': 0.3333333333333333}"
random1431121,{'K': 1.0}
random1803676,"{'K': 0.3333333333333333, 'Te': 0.3333333333333333, 'Au': 0.3333333333333333}"
random2390729,"{'Hf': 0.625, 'Ga': 0.375}"
random1614852,"{'Hf': 0.16666666666666666, 'Mo': 0.16666666666666666, 'Sb': 0.6666666666666666}"
random1475174,"{'Hf': 0.6, 'Si': 0.4}"
random2160320,"{'V': 0.2857142857142857, 'Ga': 0.7142857142857143}"
random1298174,"{'Cr': 0.14285714285714285, 'Te': 0.5714285714285714, 'Rh': 0.2857142857142857}"
random836068,{'Rb': 1.0}
random1105332,"{'Te': 0.4444444444444444, 'Zr': 0.5555555555555556}"
random465253,"{'Cd': 0.5, 'Au': 0.5}"
random890873,"{'Cu': 0.25, 'Au': 0.75}"
random657497,"{'Sn': 0.5, 'Se': 0.5}"
random1572807,"{'Mo': 0.3333333333333333, 'As': 0.6666666666666666}"
random706509,"{'Al': 0.25, 'Na': 0.25, 'Se': 0.5}"
random1138188,"{'Ga': 0.13333333333333333, 'Hg': 0.3333333333333333, 'Se': 0.5333333333333333}"
random655314,"{'Zr': 0.5, 'In': 0.5}"
random793755,"{'Zr': 0.5555555555555556, 'Te': 0.1111111111111111, 'Pb': 0.3333333333333333}"
random1847643,"{'Hf': 0.6666666666666666, 'Bi': 0.3333333333333333}"
random2419632,"{'In': 0.75, 'Na': 0.25}"
random877477,"{'Sc': 0.625, 'Sn': 0.375}"
random682247,"{'Na': 0.2, 'Ga': 0.8}"
random2285818,"{'Y': 0.625, 'Pb': 0.375}"
random1407977,"{'Y': 0.07692307692307693, 'Zn': 0.9230769230769231}"
random1012095,"{'Cs': 0.4, 'P': 0.6}"
random487006,{'Sn': 1.0}
random1336357,"{'K': 0.5, 'As': 0.5}"
random2378038,"{'Sn': 0.75, 'Sr': 0.25}"
random612253,"{'Mn': 0.625, 'Ge': 0.375}"
random483671,"{'Al': 0.75, 'Co': 0.25}"
random1314927,"{'Sc': 0.3333333333333333, 'Tc': 0.6666666666666666}"
random1567758,"{'Rb': 0.3333333333333333, 'Ca': 0.3333333333333333, 'As': 0.3333333333333333}"
random1953840,"{'Ca': 0.3333333333333333, 'Pb': 0.3333333333333333, 'Sr': 0.3333333333333333}"
random118286,"{'Pb': 0.5, 'S': 0.5}"
random740673,"{'Mn': 0.25, 'Rh': 0.25, 'Ti': 0.5}"
random1063138,"{'Ti': 0.3333333333333333, 'Si': 0.6666666666666666}"
random2255173,{'Rh': 1.0}
random1919012,"{'Si': 0.14285714285714285, 'Sn': 0.14285714285714285, 'Pd': 0.7142857142857143}"
random1421260,"{'Hf': 0.5, 'Pd': 0.25, 'Tc': 0.25}"
random1638035,"{'Hf': 0.1111111111111111, 'P': 0.2222222222222222, 'S': 0.6666666666666666}"
random2163710,"{'Cu': 0.7857142857142857, 'Sb': 0.21428571428571427}"
random476986,"{'N': 0.5, 'Sr': 0.25, 'Zr': 0.25}"
random1146385,"{'Ca': 0.6, 'P': 0.2, 'N': 0.2}"
random903547,"{'V': 0.5, 'N': 0.5}"
random902036,"{'Ti': 0.5, 'Ru': 0.5}"
random2464124,"{'Mo': 0.3333333333333333, 'S': 0.6666666666666666}"
random1915749,"{'Hf': 0.3333333333333333, 'Co': 0.3333333333333333, 'Sn': 0.3333333333333333}"
random1642412,"{'Mo': 0.5, 'Pt': 0.5}"
random1490666,"{'Sr': 0.25, 'Tl': 0.75}"
random1428098,"{'Mn': 0.16666666666666666, 'Cu': 0.16666666666666666, 'Se': 0.6666666666666666}"
random1002889,"{'Tc': 0.75, 'Os': 0.25}"
random1930528,"{'Ti': 0.3333333333333333, 'Al': 0.6666666666666666}"
random1784859,{'Ta': 1.0}
random1757259,"{'Re': 0.6666666666666666, 'P': 0.3333333333333333}"
random748547,"{'Sr': 0.5555555555555556, 'Pb': 0.4444444444444444}"
random621779,"{'Na': 0.14285714285714285, 'Cr': 0.2857142857142857, 'S': 0.5714285714285714}"
random2267450,"{'Ca': 0.25, 'Bi': 0.75}"
random1405754,"{'Bi': 0.3333333333333333, 'K': 0.3333333333333333, 'Pb': 0.3333333333333333}"
random632992,"{'V': 0.25, 'W': 0.75}"
random527735,{'K': 1.0}
random510377,"{'Ga': 0.25, 'V': 0.75}"
random1932790,"{'Sc': 0.25, 'In': 0.75}"
random1561969,"{'Mn': 0.25, 'Cr': 0.25, 'N': 0.5}"
random534486,"{'Ag': 0.5, 'Au': 0.25, 'Cd': 0.25}"
random1882801,"{'Te': 0.8333333333333334, 'Zr': 0.16666666666666666}"
random1589850,"{'Al': 0.25, 'Cr': 0.25, 'Fe': 0.5}"
random658262,"{'Ti': 0.6666666666666666, 'Pd': 0.3333333333333333}"
random1611478,"{'Ta': 0.45454545454545453, 'N': 0.5454545454545454}"
random744025,"{'Hf': 0.3333333333333333, 'Si': 0.6666666666666666}"
random2143849,"{'K': 0.4, 'S': 0.6}"
