system_id,reference_energy,get_energy,adsorp_energy
random1719469,-199.6496855,-200.40963641,-0.7599509099999864
random1252132,-3.65916146,-1.7967136,1.86244786
random2138036,-200.2685464,-200.26304104,0.005505360000000792
random1902440,-694.3141438700001,-694.84495308,-0.5308092099999158
random1165257,-365.13093348,-365.23791417,-0.10698069000000032
random2249477,-160.27835542,-160.1738242,0.10453121999998416
random709257,-221.3181368,-221.05429713,0.26383966999998165
random2480284,-234.38660646,-233.87316372,0.5134427399999879
random856407,-1086.68661137,-1086.83808228,-0.15147090999994361
random2025362,-709.0585560100001,-709.74592255,-0.6873665399999709
random2402553,-139.52655457,-141.25457114,-1.728016569999994
random1031907,-121.30073257,-122.05207719,-0.7513446200000118
random244680,-282.84754553,-282.11587967,0.7316658599999641
random671043,-433.72433438,-433.55510741,0.16922697000001108
random466748,-441.56345306,-441.309171,0.25428205999998
random292075,-68.51846038000001,-69.05666382,-0.5382034399999895
random518695,-469.00869469,-469.9566305,-0.9479358099999899
random1182642,-133.54538765,-133.91617992,-0.37079226999998127
random2094504,-219.85108574,-219.46478879,0.38629695000000197
random2200575,-248.61416735,-248.68687314,-0.07270578999998634
random1596943,-560.51863904,-560.94458134,-0.42594229999997424
random223033,-141.29993997,-141.60453954,-0.3045995699999935
random592482,-502.0442939,-502.34884856,-0.30455466000000797
random1731602,-48.673873930000006,-48.74657171,-0.0726977799999915
random1659729,-436.49643741,-436.34637525,0.1500621600000045
random2299287,-215.62798872,-215.46580844,0.16218028000000118
random865162,-49.56896313,-49.2877581,0.2812050300000024
random1534959,-367.65888451,-368.50136106,-0.8424765500000149
random2251491,-766.26244189,-766.47463385,-0.21219196000004104
random1031692,-323.93307062,-324.5601204,-0.627049779999993
random1025204,-51.02750959,-50.24559836,0.7819112299999986
random856022,-147.45894817,-147.24158662,0.217361550000021
random1751613,-225.73791058,-225.82443204,-0.08652146000000016
random1047274,-335.38344512,-336.16788157,-0.7844364500000438
